"ODPIdriveInput","Index","EnableTW","Xtr_Mode","NullDut","Xtr_Enable","Xtr_Type","Chip_Select","Chain","iforce_vsense_sel","Ioff","vForce (V)","vRange(V)","IVPair","Suitename","Testname"
"O_IDL_8XSNMOS_X097",97,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X098",98,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X099",99,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X100",100,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X101",101,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X102",102,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X103",103,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X104",104,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X105",105,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X106",106,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X107",107,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X108",108,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X109",109,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X110",110,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X111",111,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X112",112,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X113",113,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X114",114,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X115",115,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
