"memInst","ctlrID","repairType","wordCount","wordSize","colMux","memBlock","block","efuseCfg","memIDBits","memIDSeq","memStartAddr","memEndAddr","numSlices","rgs[1]","rds[1]","wordStart[1]","wordStop[1]","rgs[2]","rds[2]","wordStart[2]","wordStop[2]","rgs[3]","rds[3]","wordStart[3]","wordStop[3]","rgs[4]","rds[4]","wordStart[4]","wordStop[4]","rgs[5]","rds[5]","wordStart[5]","wordStop[5]","rgs[6]","rds[6]","wordStart[6]","wordStop[6]","rgs[7]","rds[7]","wordStart[7]","wordStop[7]","rgs[8]","rds[8]","wordStart[8]","wordStop[8]","Suite name","Test name"
"832","7","-1","1024","34","4","1","0","0","0","0","0","1023","1","0x16","0x01","1","34"
"833","7","-1","4096","32","16","1","0","0","0","0","0","4095","1","0x2F","0x00","1","32"
"834","7","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x02","1","32"
"835","7","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x07","1","32"
"836","7","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x01","1","32"
"839","7","-1","1024","34","4","1","0","0","0","0","0","1023","1","0x16","0x03","1","34"
"840","7","-1","1024","42","4","1","0","0","0","0","0","1023","1","0x20","0x00","1","42"
"841","7","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x16","0x04","1","32"
"842","7","-1","1024","42","4","1","0","0","0","0","0","1023","1","0x20","0x01","1","42"
"843","7","-1","256","26","4","1","0","0","0","0","0","255","1","0x20","0x06","1","26"
"844","7","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x20","0x04","1","32"
"845","7","-1","1024","34","4","1","0","0","0","0","0","1023","1","0x16","0x05","1","34"
"846","7","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x03","1","32"
"847","7","-1","256","54","4","1","0","0","0","0","0","255","2","0x08","0x02","1","32","0x08","0x03","1","22"
"848","7","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x05","1","32"
"851","7","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x01","1","32"
"852","7","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x04","1","32"
"853","7","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x20","0x05","1","32"
"854","7","-1","1024","42","4","1","0","0","0","0","0","1023","1","0x20","0x02","1","42"
"855","7","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x06","1","32"
"856","7","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x00","1","32"
"857","7","-1","64","20","1","1","0","0","0","0","0","63","1","0x09","0x05","1","20"
"858","7","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x04","1","32"
"859","7","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x16","0x00","1","32"
"860","7","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x02","1","32"
"861","7","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x00","1","32"
"862","7","-1","1024","25","4","1","0","0","0","0","0","1023","1","0x10","0x00","1","25"
"863","7","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x16","0x02","1","32"
"864","7","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x03","1","32"
"865","7","-1","1024","34","4","1","0","0","0","0","0","1023","1","0x16","0x07","1","34"
"866","7","-1","1024","42","4","1","0","0","0","0","0","1023","1","0x20","0x03","1","42"
"867","7","-1","512","28","4","1","0","0","0","0","0","511","1","0x21","0x00","1","28"
"792","8","-1","256","54","4","1","0","0","0","0","0","255","2","0x08","0x00","1","32","0x08","0x01","1","22"
"793","8","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x16","0x06","1","32"
"794","8","-1","1024","34","4","1","0","0","0","0","0","1023","1","0x16","0x01","1","34"
"795","8","-1","4096","32","16","1","0","0","0","0","0","4095","1","0x2F","0x00","1","32"
"796","8","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x02","1","32"
"797","8","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x07","1","32"
"798","8","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x01","1","32"
"801","8","-1","1024","34","4","1","0","0","0","0","0","1023","1","0x16","0x03","1","34"
"802","8","-1","1024","42","4","1","0","0","0","0","0","1023","1","0x20","0x00","1","42"
"803","8","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x16","0x04","1","32"
"804","8","-1","1024","42","4","1","0","0","0","0","0","1023","1","0x20","0x01","1","42"
"805","8","-1","256","26","4","1","0","0","0","0","0","255","1","0x20","0x06","1","26"
"806","8","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x20","0x04","1","32"
"807","8","-1","1024","34","4","1","0","0","0","0","0","1023","1","0x16","0x05","1","34"
"808","8","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x03","1","32"
"809","8","-1","256","54","4","1","0","0","0","0","0","255","2","0x08","0x02","1","32","0x08","0x03","1","22"
"810","8","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x05","1","32"
"813","8","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x01","1","32"
"814","8","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x04","1","32"
"815","8","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x20","0x05","1","32"
"816","8","-1","1024","42","4","1","0","0","0","0","0","1023","1","0x20","0x02","1","42"
"817","8","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x06","1","32"
"818","8","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x00","1","32"
"819","8","-1","64","20","1","1","0","0","0","0","0","63","1","0x09","0x05","1","20"
