SoftBinNumber,SoftBinName,HardBinName,HardBinNumber
1331,FUNC_M_PB_PLL_S4A_G5_2_F,F_FUNC_SRAM,15
1332,FUNC_M_PB_PLL_S4A_G6_1_F,F_FUNC_SRAM,15
1333,FUNC_M_PB_PLL_S4A_G6_2_F,F_FUNC_SRAM,15
1334,FUNC_M_PB_PLL_S4A_G7_1_F,F_FUNC_SRAM,15
1335,FUNC_M_PB_PLL_S4A_G7_2_F,F_FUNC_SRAM,15
1336,FUNC_M_PB_PLL_SDP_AA_1_F,F_FUNC_SRAM,15
1337,FUNC_M_PB_PLL_SDP_G0_1_F,F_FUNC_SRAM,15
1338,FUNC_M_PB_PLL_SDP_G1_1_F,F_FUNC_SRAM,15
1339,FUNC_M_PB_PLL_SDP_G2_1_F,F_FUNC_SRAM,15
1340,FUNC_M_PB_PLL_SDP_G3_1_F,F_FUNC_SRAM,15
1341,FUNC_M_PB_PLL_SDP_G4_1_F,F_FUNC_SRAM,15
1342,FUNC_M_PB_PLL_SDP_G5_1_F,F_FUNC_SRAM,15
1343,FUNC_M_PB_PLL_SDP_G6_1_F,F_FUNC_SRAM,15
1344,FUNC_M_PB_PLL_SDP_G7_1_F,F_FUNC_SRAM,15
1346,FUNC_M_PB_PLL_SSP_C1_3_F,F_FUNC_SRAM,15
1348,FUNC_M_PB_PLL_SSP_M0_1_F,F_FUNC_SRAM,15
1349,FUNC_M_PB_PLL_UHD_AA_3_F,F_FUNC_SRAM,15
1350,FUNC_M_PB_PLL_UHD_C1_3_F,F_FUNC_SRAM,15
1351,FUNC_M_PB_PLL_UHD_C2_3_F,F_FUNC_SRAM,15
1353,FUNC_M_PB_PLL_UHD_C2_4_F,F_FUNC_SRAM,15
1354,FUNC_M_PB_PLL_UHD_C3_3_F,F_FUNC_SRAM,15
1355,FUNC_M_PB_PLL_ROM_F,F_FUNC_SRAM,15
1356,FUNC_M_LED_AIF_F,F_FUNC_SPEED,14
1357,FUNC_M_LED_ALLCORES_F,F_FUNC_SPEED,14
1358,FUNC_M_LED_ARM_F,F_FUNC_SPEED,14
1359,FUNC_M_LED_ATDF_F,F_FUNC_SPEED,14
1360,FUNC_M_LED_BCP_F,F_FUNC_SPEED,14
1361,FUNC_M_LED_BCR_F,F_FUNC_SPEED,14
1362,FUNC_M_LED_BOOT_F,F_FUNC_SPEED,14
1363,FUNC_M_LED_DDR_F,F_FUNC_SPEED,14
1364,FUNC_M_LED_EDMA_F,F_FUNC_SPEED,14
1365,FUNC_M_LED_EMIF_F,F_FUNC_SPEED,14
1366,FUNC_M_LED_FFTC_F,F_FUNC_SPEED,14
1367,FUNC_M_LED_GEM_F,F_FUNC_SPEED,14
1368,FUNC_M_LED_GPIO_F,F_FUNC_SPEED,14
1369,FUNC_M_LED_I2C_F,F_FUNC_SPEED,14
1370,FUNC_M_LED_INTC_F,F_FUNC_SPEED,14
1371,FUNC_M_LED_MPU_F,F_FUNC_SPEED,14
1372,FUNC_M_LED_MSMC_F,F_FUNC_SPEED,14
1373,FUNC_M_LED_PA_F,F_FUNC_SPEED,14
1374,FUNC_M_LED_PCIE_F,F_FUNC_SPEED,14
1375,FUNC_M_LED_PHY_AIF_F,F_FUNC_SPEED,14
1377,FUNC_M_LED_ACPHY_DDR_F,F_FUNC_SPEED,14
1378,FUNC_M_LED_DATPHY_DDR_F,F_FUNC_SPEED,14
1379,FUNC_M_LED_PHY_PCIE_F,F_FUNC_SPEED,14
1380,FUNC_M_LED_PHY_SGMII_F,F_FUNC_SPEED,14
1381,FUNC_M_LED_PHY_SRIO_F,F_FUNC_SPEED,14
1382,FUNC_M_LED_PHY_VUSR_F,F_FUNC_SPEED,14
1383,FUNC_M_LED_PHY_XGE_F,F_FUNC_SPEED,14
1384,FUNC_M_LED_PLLCTRL_F,F_FUNC_SPEED,14
1385,FUNC_M_LED_PSC_F,F_FUNC_SPEED,14
1387,FUNC_M_LED_QMSS_F,F_FUNC_SPEED,14
1388,FUNC_M_LED_RAC_F,F_FUNC_SPEED,14
1389,FUNC_M_LED_SEC_F,F_FUNC_SPEED,14
1390,FUNC_M_LED_SM2_F,F_FUNC_SPEED,14
1391,FUNC_M_LED_SPI_F,F_FUNC_SPEED,14
1392,FUNC_M_LED_SRIO_F,F_FUNC_SPEED,14
