"GroupName","InstName","CTLR","Chain","FROM","RowStart","ColStart","RowStop","ColStop","RowSize","InstBits","MemIndex","PreRead","ECC","Protect","Repair","BitMask","BitOrder","InstData","Test name","Suite name"
"","MP_PMOS_Storage","1","0","1","106","16","107","6","25","16","","","","","","","","","",""
"","MP_VDD_JB_IDDQ_Storage","1","0","1","107","7","107","22","25","16","","","","","","","","","",""
"","MP_ARR_JB_IDDQ_Storage","1","0","1","107","23","108","13","25","16","","","","","","","","","",""
"","MP_Arr_JB_IDDQ_Storage","1","0","1","107","23","108","13","25","16","","","","","","","","","",""
"","MP_TD_JB_Storage","1","0","1","108","14","108","21","25","8","","","","","","","","","",""
"","MP_VDD_NB_IDDQ_Storage","1","0","1","108","22","109","12","25","16","","","","","","","","","",""
"","MP_ARR_NB_IDDQ_Storage","1","0","1","109","13","110","3","25","16","","","","","","","","","",""
"","MP_Arr_NB_IDDQ_Storage","1","0","1","109","13","110","3","25","16","","","","","","","","","",""
"","MP_TD_NB_Storage","1","0","1","110","4","110","11","25","8","","","","","","","","","",""
"","MP_SAMPLINGSEARCH","1","0","1","110","12","110","13","25","2","","","","","","","","","",""
"","MP_TFT_FMAX","1","0","1","110","14","111","0","25","12","","","","","","","","","",""
"","MP_SRVID","1","0","1","111","1","111","6","25","6","","","","","","","","","",""
"","MP_DEVSPEED_BITS","1","0","1","111","7","111","12","25","6","","","","","","","","","",""
"","MP_ARMSPEED_BITS","1","0","1","111","13","111","18","25","6","","","","","","","","","",""
"","MP_SPARE0","1","0","1","111","19","111","24","25","6","","","","","","","","","",""
"","FT1_SPEED_COUNT","1","0","1","112","0","112","4","25","5","","","","","","","","","",""
"","FT1_SRVID_1","1","0","1","112","5","112","10","25","6","","","","","","","","","",""
"","FT1_SPEED_1","1","0","1","112","11","112","16","25","6","","","","","","","","","",""
"","FT1_SRVID_2","1","0","1","112","17","112","22","25","6","","","","","","","","","",""
"","FT1_SPEED_2","1","0","1","112","23","113","3","25","6","","","","","","","","","",""
"","FT1_SRVID_3","1","0","1","113","4","113","9","25","6","","","","","","","","","",""
"","FT1_SPEED_3","1","0","1","113","10","113","15","25","6","","","","","","","","","",""
"","FT1_SRVID_4","1","0","1","113","16","113","21","25","6","","","","","","","","","",""
"","FT1_SPEED_4","1","0","1","113","22","114","2","25","6","","","","","","","","","",""
"","FT1_SRVID_5","1","0","1","114","3","114","8","25","6","","","","","","","","","",""
"","FT1_SPEED_5","1","0","1","114","9","114","14","25","6","","","","","","","","","",""
"","PBI_SPEED_COUNT","1","0","1","114","15","114","19","25","5","","","","","","","","","",""
"","PBI_SRVID_1","1","0","1","114","20","115","0","25","6","","","","","","","","","",""
"","PBI_SPEED_1","1","0","1","115","1","115","6","25","6","","","","","","","","","",""
"","PBI_SRVID_2","1","0","1","115","7","115","12","25","6","","","","","","","","","",""
"","PBI_SPEED_2","1","0","1","115","13","115","18","25","6","","","","","","","","","",""
"","PBI_SRVID_3","1","0","1","115","19","115","24","25","6","","","","","","","","","",""
"","PBI_SPEED_3","1","0","1","116","0","116","5","25","6","","","","","","","","","",""
"","PBI_SRVID_4","1","0","1","116","6","116","11","25","6","","","","","","","","","",""
"","PBI_SPEED_4","1","0","1","116","12","116","17","25","6","","","","","","","","","",""
"","PBI_SRVID_5","1","0","1","116","18","116","23","25","6","","","","","","","","","",""
"","PBI_SPEED_5","1","0","1","116","24","117","4","25","6","","","","","","","","","",""
"","PBICT_SPEED_COUNT","1","0","1","117","5","117","9","25","5","","","","","","","","","",""
"","PBICT_SRVID_1","1","0","1","117","10","117","15","25","6","","","","","","","","","",""
"","PBICT_SPEED_1","1","0","1","117","16","117","21","25","6","","","","","","","","","",""
"","PBICT_SRVID_2","1","0","1","117","22","118","2","25","6","","","","","","","","","",""
"","PBICT_SPEED_2","1","0","1","118","3","118","8","25","6","","","","","","","","","",""
"","PBICT_SRVID_3","1","0","1","118","9","118","14","25","6","","","","","","","","","",""
"","PBICT_SPEED_3","1","0","1","118","15","118","20","25","6","","","","","","","","","",""
"","PBICT_SRVID_4","1","0","1","118","21","119","1","25","6","","","","","","","","","",""
"","PBICT_SPEED_4","1","0","1","119","2","119","7","25","6","","","","","","","","","",""
"","PBICT_SRVID_5","1","0","1","119","8","119","13","25","6","","","","","","","","","",""
"","PBICT_SPEED_5","1","0","1","119","14","119","19","25","6","","","","","","","","","",""
